name,picname,offsetX,offsetY,x1,y1,x2,y2,color,offsetColor,containText,sim
组队图标,,0,-406,734,520,757,546,"B97F26","10|6|DEDAD7,13|23|452C13,0|2|B97F26,6|6|B0843C,10|10|EAC086,20|23|AC8030,19|12|B97F26,13|14|B17C23,21|8|B97F26,19|0|B97F26,22|8|B97F26,4|9|E6C57B,13|22|382511,20|17|996317,4|24|957437,18|9|B97F26,21|11|B97F26,22|21|5C4119","",0.8
活动图标,,0,0,168,1,233,46,"440817","11|4|c26220,16|11|7e3916,17|8|a35b27,13|14|4a2122,14|13|843f1b,7|5|6e0f06,5|5|6f1309,0|10|6e140c,0|7|64100e,15|8|a35b26,12|14|745b53,9|3|d8a766,2|3|5a1113,14|2|e0ac5d,16|13|8e583f,13|9|974e20,13|3|ce803a,4|2|63110f,0|5|571014,12|2|d4803a,6|10|c58948","",0.8
便捷组队,,0,0,493,317,548,332,"f3dabd","4|14|b99a72,38|13|684b32,29|13|5c4029,31|3|f1d6b7,52|0|f3dabd,28|5|dcc2a1,18|4|82664d,37|8|f3d6b0,11|12|f1d2a6,23|1|f3dabc,44|11|71543b,47|1|f2d9bb,23|13|6c5036,41|0|f3dabd,26|13|7e6144,38|5|8e7358,52|5|f2d8b6,45|13|f1d2a4,20|2|9a7f66,48|14|e0bf91,13|10|efd2ab,6|11|b39674,22|12|ebcca1,28|0|f3dabd,39|6|5e422b,32|6|c9ad8e,43|1|efd6b8,36|3|f3d8b9,2|1|ead1b3,31|12|816447,31|6|573b25,17|8|d4b795,13|2|f3d9bb,20|4|6c5139,25|2|9b8066,11|5|583c26,26|5|ecd2b1,33|14|f2d29e,25|1|f3dabc,53|10|d8bb97,10|13|6a4e34,42|11|d1b48f,14|11|f2d5aa,7|4|563a24,43|0|f3dabd,12|12|f2d3a7,46|11|795c42,38|4|f3d8b8,16|8|75583f,16|4|60442d,50|4|c1a689,44|14|edcc9c,40|3|e9ceb0,49|6|f2d7b5,36|1|efd6b8,52|13|f1d2a3,24|2|9a7f66,43|9|644830,6|2|684c35,18|2|9a7f66,53|4|f3d8b8,46|5|a0856a,27|13|f2d3a2,9|0|f3dabd,15|9|5c4029","",0.8
自动匹配,,0,0,353,380,424,397,"eebc59","39|7|ca9044,13|13|a4724e,44|4|d3bba9,2|12|bf9c82,36|3|ac7e5d,48|11|fbf9f7,68|2|9a5f30,8|0|eebd5a,55|15|c19f86,22|0|eebc5b,8|2|93572c,36|11|ad805f,37|15|985f36,41|2|d4bcab,38|2|d4bcab,62|11|dbc7b9,54|7|d0b6a3,0|4|94592f,18|5|c28a42,55|12|f3ece7,12|11|ffffff,20|0|eebc5b,37|5|fefefe,17|4|c18942,66|10|bd7c38,17|7|95592d,41|0|edbd5a,47|6|ebb454,65|14|e0cfc3,60|14|f2ebe5,4|6|b08566,10|14|d8c2b3,43|7|93572c,47|8|b17639,64|16|995b2d,59|13|94582d,32|10|9b633b,37|3|fefefd,15|16|e3943c,47|13|985e35,44|0|edbd5a,53|0|edbd5a,55|11|e8dbd1,10|15|dbc8ba,27|9|e8dbd2,9|13|9b5e2e,27|10|d5bead,51|1|edbb59,65|8|c5a48d,24|13|e5d7cc,12|6|ffffff,66|12|9a623a,11|3|faf7f5,59|0|edbd5a,40|1|a16733,1|1|eebb58,41|16|e39844,21|16|e2953f,23|2|af8363,51|11|e8a74c,12|15|d0b6a3,59|4|d7c1b1,59|16|ad6c33,5|0|eebc5a,28|2|c2a088,29|15|e6d8ce,7|9|a16531,2|15|dac6b8,11|7|fbf9f7,13|15|95592f,57|9|9a6239,30|6|c8aa94,14|5|c48c43,35|1|eebb59,3|12|965a2d,19|14|f4eee9,9|1|eebc59,13|0|eebd5b,3|14|d8c2b3,34|3|edbb59,53|9|a86b34,28|9|94592f,28|3|c09d84,42|4|c9ab95,24|0|eebd5b,42|10|a16531,45|0|edbd5a,67|10|95592f,63|16|a7662f,49|8|ebe0d8,20|9|f8f4f1,26|2|9e6331,5|1|a66c35,43|1|a16733,6|6|b08566,11|15|dbc8ba","",0.8
取消匹配,,0,0,351,380,424,396,"eebb59","42|14|fdfbfa,14|2|ba9478,32|15|e4d5ca,8|2|f4eee9,53|15|e69a45,0|11|eb9c3c,26|5|d5bead,13|1|be8741,42|13|985e35,63|4|93582d,26|14|a26431,59|3|e5d6cc,37|4|bd8540,53|10|e9aa4d,45|0|edbd5a,8|4|e7dad0,36|3|edbb59,12|12|fcfaf9,32|13|af8262,30|11|e3d3c8,70|12|b58b6e,33|0|eebd5b,59|12|e3d4c9,67|4|a66b35,50|11|fbf9f7,64|1|955a2f,67|15|d5beae,58|10|ab7c5a,20|15|d2b9a7,69|11|e4d4ca,58|4|d6bfae,36|9|ebae51,57|14|f6f1ed,52|8|9a5e2f,63|12|e3d3c8,52|1|edbb59,13|15|c77f38,63|1|955a30,60|1|965c32,56|14|cbae9a,21|11|94582c,23|15|aa6a32,47|1|a16733,25|7|d4bcab,2|15|bd7430,64|14|d0b7a4,55|9|a86b34,68|5|ac7e5d,44|0|edbd5a,65|15|c4a48c,2|9|985f36,15|9|996037,10|2|ba9378,59|4|dac5b6,15|11|b07136,38|3|ac7e5d,41|1|a16733,4|5|ede3db,61|0|edbd5a,45|11|ae7036,55|8|a86c35,2|11|985f36,67|0|edbc59,0|6|edb04f,50|7|94592e,49|14|fdfbfa,58|2|f0e8e3,9|12|a3704b,3|14|a3704c,32|3|f7f3f0,5|14|9f612e,43|12|9e6230,19|8|ebb150,13|9|b08464,10|3|dfcdc0,24|3|965c32,38|2|9b623a,45|13|985e35,0|12|eb9938,45|15|9b643c,0|8|eca848,3|8|fdfbfa,37|0|eebd5a,50|13|985e35,43|3|f6f2ee,57|3|b58c6f,48|8|93582d,51|0|edbd5a,3|0|eebd5a,5|4|94582e,12|9|d1b7a4,9|3|ab7d5c,44|11|c98a40","",0.8
大关闭,,0,0,460,23,620,144,"e9d3b9","12|9|c60b0a,13|0|ca8b7b,10|13|ce261f,0|16|e3c5a1,9|1|ebd8c0,12|13|d80000,9|4|a50000,3|3|bf0000,2|10|c9806f,8|5|bd0000,3|5|bb0000,14|0|dcb6a0,7|12|d63b32,14|9|e9d9b9,1|4|bb3e37,10|12|d40000,6|12|d40000,3|7|e9d6bd,15|3|bf1311,8|13|e5cbaa,10|15|e4c9a6,9|14|e5c9a7,11|0|f0e6cc","",0.8
小关闭,,0,0,460,23,620,144,"f1ddc5","0|12|f4d9bc,7|4|d13631,8|6|d1302c,3|12|efab97,13|10|ebd4b9,4|10|d3302c,7|6|d1302c,1|9|e29a88,11|7|eed7be,8|5|d02f2b,3|13|eed4b8,13|9|edd5bb,9|6|eea491,11|9|da6055,6|6|d1302c","",0.8
中关闭,,0,0,460,23,620,144,"ead7b8","3|0|eeddc0,9|13|f3e8cb,4|13|c50701,15|14|edd8bb,12|12|c70800,10|6|bb1100,8|9|c11200,0|5|f0e0c3,10|13|efd5bc,8|7|be1500,8|6|ba1100,16|4|efdfc0,4|15|efdfc2,7|11|ce4232,4|0|efdfc2,13|1|ca7867,10|14|f2e5c8,14|11|c00c00,4|9|b41100,13|12|c70800,10|1|f2e4c8","",0.8
大关闭2,,0,0,460,23,620,144,"e9d3b8","7|0|ecdac2,4|10|a50000,7|8|c90000,16|10|e5c9aa,14|9|ead8b9,0|9|e6cdaf,13|11|d30000,16|14|da7e68,2|4|b60000,11|10|d70000,6|1|eddec6,7|10|cf0000,11|8|d10000,6|13|d50000,10|1|ebd8c0,3|10|ca8472,6|3|aa1311,7|16|e4c7a5,12|3|bd0000,11|9|d50000,0|6|e8d2b6,1|9|e7ceb1,7|11|d20000","",0.8
大关闭_我的好友,,0,0,460,23,620,144,"ead7bd","12|7|eadec1,3|1|ac0000,7|7|cd0000,7|11|db584b,15|6|e7cfb2,5|15|e4c6a4,14|13|d11814,7|12|e8e9c5,2|14|d50000,11|13|d80000,8|15|e4c7a5,10|4|c90000,14|8|e6cdaf,5|5|c40000,11|11|d80000,10|14|d67561,8|4|b30000,2|5|b60101,0|9|e7cfb0,12|11|d70000","",0.8
大关闭_排行榜,,0,0,460,23,620,144,"e9d5bb","10|1|efe3ca,9|6|cb0000,14|11|bf231d,8|2|ebd8c1,14|16|e5ceaa,4|15|de9379,13|0|ce9381,3|8|f1eed0,4|2|b80000,16|1|ead4b7,14|14|d40000,16|8|e6ccac,10|4|c40000,13|3|c60000,1|11|aa2822,2|7|ecdfc4,3|14|d80000,4|3|bf0000,9|4|ad0000,5|4|c10000,10|7|d00000,6|0|ebd8c1,8|9|d10000","",0.8
关闭_大地图,,0,0,460,23,620,144,"895725","8|14|e24121,11|6|a43736,16|14|d53d1e,7|12|e44226,17|15|b93517,7|1|95773b,20|5|af3c3c,10|18|76411d,17|10|53341d,19|20|86260b,2|7|501917,13|7|ef4e47,2|0|302212,20|2|6b292a,8|1|bf974c,2|21|441607,2|2|ef5458,17|2|ef5962,14|16|e0401c,10|2|eece72,1|19|3b1307,16|20|361e0e,17|17|dd3f16,20|12|895630,21|13|88542c,6|4|f15357,0|19|543722,14|2|421b1a,11|14|e14122,7|3|e15157,18|19|d53c12,12|14|e34123,0|4|c13b2e,17|12|3e2616,16|4|f1555b,20|7|5a3115,20|11|88542e,6|2|c84950","",0.8
右下角_使用,使用,0,0,0,0,587,439,"000000","000000","",0.9
购买物品,,0,0,479,311,564,340,"000000","000000","购买物品",0.7
战斗图标,,0,0,1,1,53,47,"ffe89a","1|6|ffcf84,3|1|ffdf92,2|3|ffd88d,3|2|ffda8e,1|1|ffe396,1|3|ffdb8f,0|2|ffe194,0|6|ffd287,3|6|ffcc81,2|6|ffcd83,2|5|ffd186,3|7|ffc97f,2|7|ffcb80,3|3|ffd68b,0|3|ffdd91","",0.8
师门任务,,120,20,148,86,589,306,"000000","000000","师门任务",0.7
师门-去完成,,0,0,148,86,589,306,"000000","000000","去完成",0.85
师门-继续任务,,0,0,148,86,589,306,"000000","000000","继续任务",0.85
请选择要做的事,,40,55,416,87,607,393,"000000","000000","请选择要做的事",0.85
侧边栏-师门,,0,0,416,87,607,393,"000000","000000","师门",0.85
上交,,0,0,398,266,617,401,"000000","000000","上交",0.85
购买,,0,0,441,350,580,426,"000000","000000","购",0.85
购买商品-第一个商品价格,,0,0,253,150,309,171,"000000","000000","",0.85
使用,,0,0,482,363,572,430,"000000","000000","使用",0.85
活动弹窗,,0,0,290,51,346,75,"000000","000000","活动",0.85
宝图任务,,120,20,148,86,589,306,"000000","000000","宝图任务",0.8
日常-宝图任务,,0,0,487,90,632,264,"000000","000000","日常-宝图任务",0.8
包裹,,0,0,587,394,618,411,"000000","000000","包",0.8
包裹弹窗,,0,0,278,45,342,71,"000000","000000","包",0.8
宝图图标,宝图,0,0,320,118,560,361,"000000","000000","",0.9
右下角_使用,,0,0,740,301,853,371,"000000","000000","使用",0.85
scrcpy_包裹,,0,0,867,335,892,349,"000000","000000","包",0.7
scrcpy_包裹弹窗,,0,0,432,10,481,33,"000000","000000","包",0.7
scrcpy_宝图图标,宝图,0,0,462,88,743,364,"000000","000000","",0.8
scrcpy_包裹_藏宝图_使用,,0,0,356,253,416,278,"000000","000000","使用",0.85
